,length, height, width
0,8.4,2.11,1.41
1,13.7,3.53,2.0
2,15.0,3.82,2.43
3,16.2,4.59,2.63
4,17.4,4.59,2.94
5,18.0,5.22,3.32
6,18.7,5.2,3.12
7,19.0,5.64,3.05
8,19.6,5.14,3.04
9,20.0,5.08,2.77
10,21.0,5.69,3.56
11,21.0,5.92,3.31
12,21.0,5.69,3.67
13,21.3,6.38,3.53
14,22.0,6.11,3.41
15,22.0,5.64,3.52
16,22.0,6.11,3.52
17,22.0,5.88,3.52
18,22.0,5.52,4.0
19,22.5,5.86,3.62
20,22.5,6.79,3.62
21,22.7,5.95,3.63
22,23.0,5.22,3.63
23,23.5,6.28,3.72
24,24.0,7.29,3.72
25,24.0,6.38,3.82
26,24.6,6.73,4.17
27,25.0,6.44,3.68
28,25.6,6.56,4.24
29,26.5,7.17,4.14
30,27.3,8.32,5.14
31,27.5,7.17,4.34
32,27.5,7.05,4.34
33,27.5,7.28,4.57
34,28.0,7.82,4.2
35,28.7,7.59,4.64
36,30.0,7.62,4.77
37,32.8,10.03,6.02
38,34.5,10.26,6.39
39,35.0,11.49,7.8
40,36.5,10.88,6.86
41,36.0,10.61,6.74
42,37.0,10.84,6.26
43,37.0,10.57,6.37
44,39.0,11.14,7.49
45,39.0,11.14,6.0
46,39.0,12.43,7.35
47,40.0,11.93,7.11
48,40.0,11.73,7.22
49,40.0,12.38,7.46
50,40.0,11.14,6.63
51,42.0,12.8,6.87
52,43.0,11.93,7.28
53,43.0,12.51,7.42
54,43.5,12.6,8.14
55,44.0,12.49,7.6
