Class,Gender,MathScore,EnglishScore,ScienceScore
Class 2,Female,88,64,96
Class 3,Male,54,86,80
Class 4,Female,89,54,77
Class 5,Male,65,97,86
Class 1,Female,63,50,59
Class 2,Male,85,99,58
Class 3,Female,88,87,70
Class 4,Male,61,61,73
Class 5,Female,89,94,98
Class 1,Male,61,55,89
Class 2,Female,98,90,93
Class 3,Male,86,96,92
Class 4,Female,68,66,63
Class 5,Male,61,66,97
Class 1,Female,84,60,59
Class 2,Male,66,55,77
Class 3,Female,78,73,76
Class 4,Male,59,97,87
Class 5,Female,87,53,84
Class 1,Male,58,88,56
Class 2,Female,67,98,91
Class 3,Male,98,68,95
Class 4,Female,94,80,87
Class 5,Male,78,66,56
Class 1,Female,75,81,71
Class 2,Male,80,92,53
Class 3,Female,87,97,61
Class 4,Male,80,71,92
Class 5,Female,68,83,61
Class 1,Male,62,60,79
Class 2,Female,51,94,64
Class 3,Male,77,81,69
Class 4,Female,60,69,76
Class 5,Male,53,52,93
Class 1,Female,66,69,66
Class 2,Male,77,81,85
Class 3,Female,56,69,67
Class 4,Male,50,89,66
Class 5,Female,57,89,60
Class 1,Male,75,83,59
Class 2,Female,53,94,85
Class 3,Male,86,94,75
Class 4,Female,94,80,76
Class 5,Male,71,89,65
Class 1,Female,99,62,77
Class 2,Male,58,66,54
Class 3,Female,97,66,88
Class 4,Male,88,56,71
Class 5,Female,92,54,89
Class 1,Male,83,95,99
Class 2,Female,86,70,73
Class 3,Male,54,80,94
Class 4,Female,77,62,88
Class 5,Male,63,83,93
Class 1,Female,63,76,93
Class 2,Male,91,68,72
Class 3,Female,58,56,78
Class 4,Male,56,52,96
Class 5,Female,80,76,93
Class 1,Male,62,96,56
Class 2,Female,84,75,63
Class 3,Male,53,63,63
Class 4,Female,90,77,67
Class 5,Male,66,87,90
Class 1,Female,55,95,80
Class 2,Male,90,71,54
Class 3,Female,79,93,68
Class 4,Male,72,55,98
Class 5,Female,87,99,52
Class 1,Male,73,75,77
Class 2,Female,86,62,58
Class 3,Male,93,56,93
Class 4,Female,84,97,65
Class 5,Male,56,59,73
Class 1,Female,56,60,97
Class 2,Male,74,58,80
Class 3,Female,62,76,63
Class 4,Male,67,66,78
Class 5,Female,81,81,96
Class 1,Male,98,80,64
Class 2,Female,87,87,96
Class 3,Male,50,88,95
Class 4,Female,60,98,83
Class 5,Male,99,56,54
Class 1,Female,94,98,60
Class 2,Male,54,56,68
Class 3,Female,81,51,86
Class 4,Male,60,97,58
Class 5,Female,79,51,59
Class 1,Male,83,71,96
Class 2,Female,91,96,63
Class 3,Male,98,50,62
Class 4,Female,63,72,79
Class 5,Male,69,86,64
Class 1,Female,91,76,90
Class 2,Male,62,70,63
Class 3,Female,94,70,59
Class 4,Male,93,89,96
Class 5,Female,66,84,62
Class 1,Male,87,99,87
